confidence,content
0.8412,Yeah
0.9975,Alexa
1.0,play
1.0,Wake
1.0,me
1.0,up
1.0,when
1.0,september
1.0,ends
1.0,Alexa
1.0,volume
1.0,up
0.5898,elect
0.9928,some
0.9995,boring
1.0,So
1.0,tell
1.0,me
1.0,a
1.0,joke
0.9484,Oh
0.5553,Alexa
1.0,is
0.9953,it
1.0,going
1.0,to
1.0,rain
1.0,today
0.9866,Alexa
1.0,What
1.0,is
1.0,today's
1.0,date
0.9996,Alexa
1.0,What
0.9981,bus
1.0,should
1.0,I
1.0,take
1.0,to
1.0,get
0.997,to
0.9825,Emory
1.0,University
0.9595,Alexa
1.0,I
1.0,broke
1.0,up
1.0,with
1.0,my
1.0,significant
0.9792,other
1.0,and
0.9856,I'm
0.9991,really
1.0,sad
1.0,What
1.0,should
1.0,I
1.0,do
0.9954,Alexa
1.0,I
1.0,want
1.0,to
1.0,buy
1.0,a
1.0,birthday
1.0,gift
1.0,for
1.0,my
1.0,best
1.0,friend
0.9976,Do
1.0,you
1.0,have
1.0,any
0.9917,suggestions
