confidence,content
0.9499,Alexa
1.0,Play
1.0,Wake
1.0,me
1.0,up
1.0,when
1.0,september
1.0,ends
0.9994,Alexa
0.9996,volume
1.0,up
0.7972,Alexa
0.7956,I'm
0.9998,boring
1.0,So
1.0,tell
1.0,me
1.0,a
1.0,joke
0.9777,Alexa
0.999,Is
0.9983,it
1.0,going
1.0,to
1.0,rain
1.0,today
0.991,Alexa
1.0,What
1.0,is
1.0,today's
1.0,date
0.9947,Alexa
0.9996,What
0.9981,bus
1.0,should
1.0,I
1.0,take
1.0,to
1.0,get
0.996,to
0.9825,Emory
1.0,University
0.9941,Alexa
0.9978,I
1.0,broke
1.0,up
1.0,with
1.0,my
1.0,significant
1.0,other
1.0,and
0.9762,I'm
0.9837,really
1.0,sad
1.0,What
1.0,should
1.0,I
1.0,do
0.6329,Alexa
1.0,I
1.0,want
1.0,to
1.0,buy
1.0,a
1.0,birthday
1.0,gift
0.7255,for
1.0,my
1.0,best
1.0,friend
1.0,What
1.0,do
1.0,you
1.0,have
1.0,any
0.9897,suggestions
