confidence,content
0.4014,Yeah
0.862,Alexa
1.0,play
1.0,Wake
1.0,me
1.0,up
1.0,when
1.0,september
1.0,ends
0.7391,Alex
0.9384,That
0.9997,volume
1.0,up
0.6671,Alexa
0.6006,I'm
0.9993,boring
1.0,So
1.0,tell
1.0,me
1.0,a
1.0,joke
0.8014,Alexa
0.9991,Is
0.9991,it
1.0,going
1.0,to
0.8677,ring
1.0,today
0.9364,Alexa
1.0,What
1.0,is
1.0,today's
1.0,date
0.8437,Alexa
0.9991,What
0.9913,bus
1.0,should
0.9995,I
1.0,take
1.0,to
1.0,get
0.9997,to
0.9827,Emory
1.0,University
0.8536,Alexa
1.0,I
1.0,broke
1.0,up
1.0,with
1.0,my
1.0,significant
1.0,other
1.0,and
0.9776,I'm
0.9179,really
1.0,sad
1.0,What
1.0,should
1.0,I
1.0,do
0.9721,Alexa
1.0,I
1.0,want
1.0,to
1.0,buy
1.0,a
1.0,birthday
1.0,gift
0.6621,for
1.0,my
1.0,best
1.0,friend
1.0,Do
1.0,you
1.0,have
1.0,any
0.9939,suggestions
