confidence,content
0.9894,Alexa
1.0,Play
1.0,Wake
1.0,me
1.0,up
1.0,when
1.0,september
1.0,ends
0.9675,Alexa
1.0,volume
1.0,up
0.7182,Alexa
0.9849,I'm
0.9996,boring
1.0,So
1.0,tell
1.0,me
1.0,a
1.0,joke
0.9727,Alexa
0.9997,Is
0.9997,it
1.0,going
1.0,to
1.0,rain
1.0,today
0.9091,Alexa
1.0,What
1.0,is
1.0,today's
1.0,date
0.8935,Alexa
1.0,What
0.9925,bus
1.0,should
1.0,I
1.0,take
1.0,to
1.0,get
0.996,to
0.9825,Emory
1.0,University
0.9987,Alexa
1.0,I
1.0,broke
1.0,up
1.0,with
1.0,my
1.0,significant
1.0,other
1.0,and
1.0,I
1.0,am
0.9994,really
1.0,sad
1.0,What
1.0,should
1.0,I
1.0,do
0.9749,Alexa
1.0,I
0.9826,want
1.0,to
1.0,buy
1.0,a
1.0,birthday
1.0,gift
1.0,for
1.0,my
1.0,friend
1.0,Do
1.0,you
1.0,have
1.0,any
0.9055,suggestions
