confidence,content
0.9738,Alexa
1.0,Play
1.0,Wake
1.0,me
1.0,up
1.0,when
1.0,september
1.0,ends
0.9946,Alexa
0.5889,following
1.0,up
0.9987,Alexa
0.9787,I'm
0.9952,boring
1.0,So
1.0,tell
1.0,me
1.0,a
1.0,joke
1.0,Alexa
0.999,Is
0.9972,it
1.0,going
1.0,to
0.9683,rain
1.0,today
0.6596,Alexa
0.5443,What's
0.9288,this
0.9945,today's
1.0,date
0.9979,Alexa
1.0,What
0.9993,bus
0.9872,do
1.0,I
1.0,take
1.0,to
1.0,get
0.9965,to
0.9825,Emory
1.0,University
0.9996,Alexa
0.9993,I
1.0,broke
1.0,up
1.0,with
1.0,my
1.0,significant
1.0,other
1.0,and
0.9918,I'm
0.9645,really
1.0,sad
1.0,What
1.0,should
1.0,I
1.0,do
0.9554,Alexa
1.0,I
1.0,want
1.0,to
1.0,buy
1.0,a
1.0,birthday
1.0,gift
0.4988,from
1.0,my
1.0,best
1.0,friend
1.0,Do
1.0,you
1.0,have
1.0,any
0.9867,suggestions
