confidence,content
1.0,Alexa
1.0,Play
1.0,Wake
1.0,me
1.0,up
1.0,when
1.0,september
1.0,ends
1.0,Alexa
0.7115,bottom
1.0,up
0.9997,Alexa
0.9219,I'm
1.0,boring
1.0,So
1.0,tell
1.0,me
1.0,a
1.0,joke
0.9873,Alexa
0.9966,Is
0.9842,it
1.0,going
1.0,to
0.9939,rain
1.0,today
1.0,Alexa
1.0,What
1.0,is
1.0,today's
0.9977,date
1.0,Alexa
1.0,What
0.9825,bus
1.0,should
1.0,I
1.0,take
1.0,to
1.0,get
0.996,to
0.9825,Emory
1.0,University
1.0,Alexa
1.0,I
1.0,broke
1.0,up
1.0,with
1.0,my
1.0,significant
1.0,other
1.0,and
0.9723,I'm
0.9983,really
1.0,sad
1.0,What
1.0,should
1.0,I
1.0,do
0.9987,Alexa
1.0,I
1.0,want
1.0,to
1.0,buy
1.0,a
1.0,birthday
0.8894,kit
1.0,for
1.0,my
1.0,best
0.9973,friend
1.0,Do
1.0,you
1.0,have
1.0,any
0.9903,suggestions
