confidence,content
0.747,Alexa
1.0,play
0.9092,wake
0.9986,me
0.7507,up
1.0,when
1.0,september
1.0,ends
0.9876,and
0.6961,they
0.9867,said
0.6513,what
0.6126,them
0.9998,up
0.9969,Alexa
0.999,I'm
1.0,borrowing
1.0,So
1.0,tell
1.0,me
0.9988,a
1.0,joke
0.8564,Alexa
0.9996,Is
0.99,it
1.0,going
1.0,to
1.0,rain
1.0,today
0.9867,I
0.9883,like
0.9981,what
0.8548,in
0.9511,today's
0.4872,States
0.5894,I
0.5766,think
0.572,So
1.0,What
0.9807,bus
0.9997,should
1.0,I
0.7626,say
0.8705,to
0.9782,get
0.9195,to
0.975,Emory
1.0,University
0.9752,Alexa
1.0,I
1.0,broke
0.9964,up
1.0,with
1.0,my
1.0,significant
0.9191,order
1.0,and
0.9138,I'm
0.9644,really
1.0,sad
0.9947,Or
0.9467,should
0.9468,I
0.3638,too
0.7037,Alexa
1.0,I
1.0,want
0.9832,to
1.0,buy
1.0,a
1.0,birthday
1.0,gift
1.0,for
1.0,my
1.0,best
1.0,friend
1.0,Do
1.0,you
1.0,have
1.0,any
0.9896,suggestions
