confidence,content
0.9991,Alexa
1.0,Play
1.0,Wake
1.0,me
1.0,up
1.0,when
1.0,september
1.0,ends
1.0,Alexa
1.0,volume
1.0,up
0.9945,Alexa
0.9967,I'm
1.0,boring
1.0,So
1.0,tell
1.0,me
1.0,a
1.0,joke
0.9974,Alexa
0.9833,Is
0.8482,it
1.0,going
1.0,to
1.0,rain
1.0,today
0.9985,Alexa
1.0,What
1.0,is
1.0,today's
1.0,date
0.9992,Alexa
1.0,What
0.9784,bus
1.0,should
1.0,I
1.0,take
1.0,to
1.0,get
0.9958,to
0.9723,Emory
1.0,University
0.9917,Alexa
1.0,I
1.0,broke
1.0,up
1.0,with
1.0,my
1.0,significant
1.0,other
1.0,and
0.9122,I'm
0.9988,really
1.0,sad
1.0,What
1.0,should
1.0,I
1.0,do
0.9971,Alexa
1.0,I
1.0,want
1.0,to
1.0,buy
1.0,a
1.0,birthday
1.0,gift
0.8359,for
1.0,my
1.0,best
1.0,friend
1.0,Do
1.0,you
1.0,have
1.0,any
1.0,suggestions
