confidence,content
0.9977,Alexa
0.9994,Play
1.0,Wake
1.0,me
1.0,up
1.0,when
1.0,september
0.275,and
0.9906,Alexa
1.0,volume
1.0,up
0.9801,Alexa
0.8795,I'm
0.9954,boring
1.0,So
1.0,tell
1.0,me
0.7764,a
0.9776,drug
0.9895,Alexa
0.981,Is
0.6524,it
1.0,going
1.0,to
0.9994,rain
1.0,today
0.9647,Alexa
0.7029,What's
0.9669,today's
0.9907,date
0.7794,Alexa
0.9997,What
0.8246,bus
1.0,should
1.0,I
1.0,take
1.0,to
1.0,get
1.0,to
0.9732,Emory
1.0,University
0.8617,Alexa
0.9824,I
1.0,broke
0.9996,up
1.0,with
1.0,my
1.0,significant
1.0,other
1.0,and
0.9673,I'm
0.9874,really
0.9996,sad
1.0,What
1.0,should
1.0,I
1.0,do
0.9025,Alexa
0.9974,I
1.0,want
1.0,to
1.0,buy
1.0,a
1.0,birthday
0.9968,gift
0.9446,from
1.0,my
0.9447,birth
1.0,best
1.0,friend
1.0,Do
1.0,you
1.0,have
1.0,any
0.8413,suggestions
